site_id,startDateTime,VSWC,SOILT
CPER,2024-03-22T00:00:00Z,0.152025,13.865
CPER,2024-03-23T00:00:00Z,0.14496,12.607
CPER,2024-03-24T00:00:00Z,0.142025,11.6706
CPER,2024-03-25T00:00:00Z,0.140275,4.6144
CPER,2024-03-26T00:00:00Z,0.14865,6.521
CPER,2024-03-27T00:00:00Z,0.12346666666666667,4.9892
CPER,2024-03-28T00:00:00Z,0.13995,9.9166
CPER,2024-03-29T00:00:00Z,0.124625,13.1424
CPER,2024-03-30T00:00:00Z,0.123125,7.0976
CPER,2024-03-31T00:00:00Z,0.13158,12.9388
DCFS,2024-03-01T00:00:00Z,NA,-0.1495
DCFS,2024-03-02T00:00:00Z,NA,0.18875
DCFS,2024-03-03T00:00:00Z,0.1335,-0.20049999999999998
DCFS,2024-03-04T00:00:00Z,NA,-0.33675
DCFS,2024-03-05T00:00:00Z,NA,-1.5635
DCFS,2024-03-06T00:00:00Z,NA,-2.067
DCFS,2024-03-07T00:00:00Z,NA,-1.61075
DCFS,2024-03-08T00:00:00Z,NA,-2.25075
DCFS,2024-03-12T00:00:00Z,0.1807,1.0963333333333334
DCFS,2024-03-13T00:00:00Z,0.17304999999999998,1.6316666666666666
DCFS,2024-03-14T00:00:00Z,0.1951,1.451
DCFS,2024-03-15T00:00:00Z,0.2259,0.842
DCFS,2024-03-16T00:00:00Z,0.2179,2.64975
DCFS,2024-03-17T00:00:00Z,0.22039999999999998,0.29125
DCFS,2024-03-18T00:00:00Z,NA,-0.7757499999999999
DCFS,2024-03-19T00:00:00Z,0.1299,1.16175
DCFS,2024-03-20T00:00:00Z,0.18133333333333335,0.6092
DCFS,2024-03-21T00:00:00Z,NA,-0.07880000000000001
DCFS,2024-03-22T00:00:00Z,NA,-0.7754
DCFS,2024-03-23T00:00:00Z,NA,-0.1174
DCFS,2024-03-24T00:00:00Z,NA,-0.8068
DCFS,2024-03-25T00:00:00Z,NA,-0.6772
DCFS,2024-03-26T00:00:00Z,NA,-0.5246000000000001
DCFS,2024-03-27T00:00:00Z,NA,-0.6706
DCFS,2024-03-28T00:00:00Z,0.1086,-0.6215999999999999
DCFS,2024-03-29T00:00:00Z,NA,-0.17140000000000002
DCFS,2024-03-30T00:00:00Z,NA,-0.16
DCFS,2024-03-31T00:00:00Z,NA,-0.1598
DEJU,2024-03-01T00:00:00Z,NA,-7.52475
DEJU,2024-03-02T00:00:00Z,NA,-8.35775
DEJU,2024-03-03T00:00:00Z,NA,-9.922
DEJU,2024-03-04T00:00:00Z,NA,-9.525749999999999
DEJU,2024-03-05T00:00:00Z,NA,-7.942
DEJU,2024-03-06T00:00:00Z,NA,-6.8255
DEJU,2024-03-07T00:00:00Z,NA,-6.61425
DEJU,2024-03-08T00:00:00Z,NA,-6.7255
DEJU,2024-03-09T00:00:00Z,NA,-6.971
DEJU,2024-03-10T00:00:00Z,NA,-6.742
DEJU,2024-03-11T00:00:00Z,NA,-7.476
DEJU,2024-03-12T00:00:00Z,NA,-7.72525
DEJU,2024-03-13T00:00:00Z,NA,-8.2165
DEJU,2024-03-14T00:00:00Z,NA,-7.675
DEJU,2024-03-15T00:00:00Z,NA,-7.6652499999999995
DEJU,2024-03-16T00:00:00Z,NA,-8.2105
DEJU,2024-03-17T00:00:00Z,NA,-7.41725
DEJU,2024-03-18T00:00:00Z,NA,-6.75475
DEJU,2024-03-19T00:00:00Z,NA,-6.3375
DEJU,2024-03-20T00:00:00Z,NA,-6.4475
DEJU,2024-03-21T00:00:00Z,NA,-5.82375
DEJU,2024-03-22T00:00:00Z,NA,-5.1465000000000005
DEJU,2024-03-23T00:00:00Z,NA,-4.2805
DEJU,2024-03-24T00:00:00Z,NA,-3.74
DEJU,2024-03-25T00:00:00Z,NA,-2.31575
DEJU,2024-03-26T00:00:00Z,NA,-1.29375
DEJU,2024-03-27T00:00:00Z,1e-4,-0.6995
DEJU,2024-03-28T00:00:00Z,9e-4,-0.45049999999999996
DEJU,2024-03-29T00:00:00Z,NA,-0.47124999999999995
DEJU,2024-03-30T00:00:00Z,0.035,-0.68775
DEJU,2024-03-31T00:00:00Z,0.0015,-0.523
DELA,2024-03-01T00:00:00Z,0.2447,13.0936
DELA,2024-03-02T00:00:00Z,0.2592,12.6608
DELA,2024-03-03T00:00:00Z,0.26034999999999997,14.0692
DELA,2024-03-04T00:00:00Z,0.2587,16.3146
DELA,2024-03-05T00:00:00Z,0.25615,16.6928
DELA,2024-03-06T00:00:00Z,0.266,16.3296
DELA,2024-03-07T00:00:00Z,0.26185,17.9726
DELA,2024-03-08T00:00:00Z,0.2579,18.028
DELA,2024-03-09T00:00:00Z,0.3555,15.8072
DELA,2024-03-10T00:00:00Z,0.3686,16.462799999999998
DELA,2024-03-11T00:00:00Z,0.3049,15.398
DELA,2024-03-12T00:00:00Z,0.2969,15.0852
DELA,2024-03-13T00:00:00Z,0.2925333333333333,16.21
DELA,2024-03-14T00:00:00Z,0.2672,17.230999999999998
DELA,2024-03-15T00:00:00Z,0.2811,18.9892
DELA,2024-03-16T00:00:00Z,0.27493333333333336,17.6144
DELA,2024-03-17T00:00:00Z,0.2843,16.909000000000002
DELA,2024-03-18T00:00:00Z,0.2997,15.338
DELA,2024-03-19T00:00:00Z,0.2865,14.833
DELA,2024-03-20T00:00:00Z,0.2863,14.2474
DELA,2024-03-21T00:00:00Z,0.27249999999999996,15.9082
DELA,2024-03-22T00:00:00Z,0.26890000000000003,16.6972
DELA,2024-03-23T00:00:00Z,0.2796,16.9058
DELA,2024-03-24T00:00:00Z,0.2614,17.2938
DELA,2024-03-25T00:00:00Z,0.275,16.842399999999998
DELA,2024-03-26T00:00:00Z,0.2621,17.1766
DELA,2024-03-27T00:00:00Z,0.3347,17.486
DELA,2024-03-28T00:00:00Z,0.2965,16.5406
DELA,2024-03-29T00:00:00Z,NA,16.4418
DELA,2024-03-30T00:00:00Z,0.2908,17.14
DELA,2024-03-31T00:00:00Z,0.28365,18.449
DSNY,2024-03-01T00:00:00Z,0.20645000000000002,19.752399999999998
DSNY,2024-03-02T00:00:00Z,0.18203333333333332,20.811
DSNY,2024-03-03T00:00:00Z,0.17476666666666668,21.1268
DSNY,2024-03-04T00:00:00Z,0.253225,19.6232
DSNY,2024-03-05T00:00:00Z,0.25834,20.856
DSNY,2024-03-06T00:00:00Z,0.258525,21.7344
DSNY,2024-03-07T00:00:00Z,0.26056666666666667,21.7534
DSNY,2024-03-08T00:00:00Z,0.23535,22.1558
DSNY,2024-03-09T00:00:00Z,0.2364,23.4818
DSNY,2024-03-10T00:00:00Z,0.2226,23.623
DSNY,2024-03-11T00:00:00Z,0.211025,21.846
DSNY,2024-03-12T00:00:00Z,0.20942,20.2494
