site_id,startDateTime,SOILT,VSWC
CLBJ,2024-02-13T00:00:00Z,9.603,0.1687
CLBJ,2024-02-14T00:00:00Z,10.901,0.1682
CLBJ,2024-02-15T00:00:00Z,12.1705,0.1672
CLBJ,2024-02-16T00:00:00Z,13.21275,0.1675
CLBJ,2024-02-17T00:00:00Z,11.3845,0.1662
CLBJ,2024-02-18T00:00:00Z,8.2105,0.1623
CLBJ,2024-02-19T00:00:00Z,9.427,0.17113333333333333
CLBJ,2024-02-20T00:00:00Z,11.8155,0.19533333333333333
CLBJ,2024-02-21T00:00:00Z,13.91175,0.1639
CLBJ,2024-02-22T00:00:00Z,15.44575,NA
CLBJ,2024-02-23T00:00:00Z,15.09325,0.1642
CLBJ,2024-02-24T00:00:00Z,14.16125,0.1624
CLBJ,2024-02-25T00:00:00Z,14.84775,0.1623
CLBJ,2024-02-26T00:00:00Z,16.43125,0.2096
CLBJ,2024-02-27T00:00:00Z,18.137,0.1946
CLBJ,2024-02-28T00:00:00Z,17.48725,0.1995
CLBJ,2024-02-29T00:00:00Z,11.06525,0.1576
CPER,2024-02-01T00:00:00Z,6.1206,0.120775
CPER,2024-02-02T00:00:00Z,7.0088,0.1195
CPER,2024-02-03T00:00:00Z,5.524,0.11676666666666669
CPER,2024-02-04T00:00:00Z,2.0854,0.17915
CPER,2024-02-05T00:00:00Z,4.146,0.16265000000000002
CPER,2024-02-06T00:00:00Z,5.0776,0.16566666666666666
CPER,2024-02-07T00:00:00Z,5.593,0.152475
CPER,2024-02-08T00:00:00Z,3.761,0.13956666666666667
CPER,2024-02-09T00:00:00Z,4.7448,0.14600000000000002
CPER,2024-02-10T00:00:00Z,3.3802,0.1395
CPER,2024-02-11T00:00:00Z,1.2012,0.13225
CPER,2024-02-12T00:00:00Z,1.3652,0.14296
CPER,2024-02-13T00:00:00Z,2.9876,0.153775
CPER,2024-02-14T00:00:00Z,3.9396,0.16767500000000002
CPER,2024-02-15T00:00:00Z,4.0882000000000005,0.15575
CPER,2024-02-16T00:00:00Z,5.7334000000000005,0.17235
CPER,2024-02-17T00:00:00Z,-1.3952,NA
CPER,2024-02-18T00:00:00Z,1.4212,0.13663333333333333
CPER,2024-02-19T00:00:00Z,2.0074,0.14475
CPER,2024-02-20T00:00:00Z,6.2682,0.150675
CPER,2024-02-21T00:00:00Z,8.506,0.146975
CPER,2024-02-22T00:00:00Z,6.8806,0.147375
CPER,2024-02-23T00:00:00Z,6.2632,0.13815
CPER,2024-02-24T00:00:00Z,6.321,0.14225
CPER,2024-02-25T00:00:00Z,7.309,0.141725
CPER,2024-02-26T00:00:00Z,9.1692,0.1388
CPER,2024-02-27T00:00:00Z,9.2774,0.137
CPER,2024-02-28T00:00:00Z,2.7784,0.1352
CPER,2024-02-29T00:00:00Z,6.3884,0.137275
DCFS,2024-02-01T00:00:00Z,0.05425000000000001,NA
DCFS,2024-02-02T00:00:00Z,0.044,0.3486
DCFS,2024-02-03T00:00:00Z,0.013,NA
DCFS,2024-02-04T00:00:00Z,0.0155,NA
DCFS,2024-02-05T00:00:00Z,0.0285,NA
DCFS,2024-02-06T00:00:00Z,0.1765,0.3691
DCFS,2024-02-07T00:00:00Z,0.1005,NA
DCFS,2024-02-08T00:00:00Z,0.01075,0.3744
DCFS,2024-02-09T00:00:00Z,-7.500000000000028e-4,0.3541
DCFS,2024-02-10T00:00:00Z,-0.1915,0.2452
DCFS,2024-02-11T00:00:00Z,-0.73325,NA
DCFS,2024-02-12T00:00:00Z,-0.08349999999999999,0.1577
DCFS,2024-02-13T00:00:00Z,-0.08325,0.1342
DCFS,2024-02-14T00:00:00Z,-0.184,NA
DCFS,2024-02-15T00:00:00Z,-1.068,NA
DCFS,2024-02-16T00:00:00Z,-1.74225,NA
DCFS,2024-02-17T00:00:00Z,-3.09225,NA
DCFS,2024-02-18T00:00:00Z,-0.95125,NA
