site_id,datetime,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
DSNY,2023-11-23T00:00:00Z,101160.8564453125,294.4446334838867,0.15250001102685928,0,0,0
GRSM,2023-11-23T00:00:00Z,91214.85546875,278.67088317871094,0.2788750156760216,0,0,0
GUAN,2023-11-23T00:00:00Z,100179.455078125,298.2096366882324,0.20162500999867916,0,0,0
HARV,2023-11-23T00:00:00Z,97285.4560546875,275.53089141845703,0.2993750162422657,0,0,0
HEAL,2023-11-23T00:00:00Z,92888.0556640625,266.24464416503906,0.4142500311136246,30.875,0.3037499897181988,0
JERC,2023-11-23T00:00:00Z,101050.4541015625,286.7308883666992,0.16175000555813313,0,0,0
JORN,2023-11-23T00:00:00Z,86087.658203125,284.27088928222656,0.14275000616908073,0,0,0
KONA,2023-11-23T00:00:00Z,96987.0556640625,279.6333923339844,0.24450000934302807,0,0,0
KONZ,2023-11-23T00:00:00Z,96987.0556640625,279.6333923339844,0.24450000934302807,0,0,0
LAJA,2023-11-23T00:00:00Z,100179.455078125,298.2096366882324,0.20162500999867916,0,0,0
LENO,2023-11-23T00:00:00Z,101192.0546875,284.9446449279785,0.2548750080168247,0,0,0
MLBS,2023-11-23T00:00:00Z,93280.0556640625,278.1371383666992,0.263250008225441,0,0,0
MOAB,2023-11-23T00:00:00Z,79448.2568359375,276.28588485717773,0.13962500728666782,0,0,0
NIWO,2023-11-23T00:00:00Z,73723.056640625,273.1483917236328,0.32350000739097595,6,0.04124999884516001,0
NOGP,2023-11-23T00:00:00Z,95561.455078125,273.9296417236328,0.16312500275671482,0,0,0
OAES,2023-11-23T00:00:00Z,95436.4541015625,282.8371391296387,0.15237501077353954,0,0,0
ONAQ,2023-11-23T00:00:00Z,81848.6552734375,275.8996391296387,0.22687501274049282,0,0,0
ORNL,2023-11-23T00:00:00Z,97062.6572265625,280.29088592529297,0.27137501165270805,0,0,0
OSBS,2023-11-23T00:00:00Z,101237.8544921875,291.68464279174805,0.13912500627338886,0,0,0
PUUM,2023-11-23T00:00:00Z,80886.455078125,291.2933921813965,0.11562500614672899,0,0,0
RMNP,2023-11-23T00:00:00Z,74182.85546875,273.1208915710449,0.15637500397861004,3.125,0.024999999441206455,0
SCBI,2023-11-23T00:00:00Z,98740.85546875,280.6396484375,0.293000016361475,0,0,0
SERC,2023-11-23T00:00:00Z,101042.85546875,NA,NA,NA,NA,0
SJER,2023-11-23T00:00:00Z,94248.2548828125,285.6283874511719,0.13050000928342342,0,0,0
SOAP,2023-11-23T00:00:00Z,94248.2548828125,285.6283874511719,0.13050000928342342,0,0,0
SRER,2023-11-23T00:00:00Z,89861.8564453125,287.9721374511719,0.11350000649690628,0,0,0
STEI,2023-11-23T00:00:00Z,95597.255859375,274.47338485717773,0.24175001122057438,0,0,0
STER,2023-11-23T00:00:00Z,87131.654296875,280.23839569091797,0.07500000298023224,0,0,0
TALL,2023-11-23T00:00:00Z,100841.255859375,284.13838958740234,0.2626250088214874,0,0,0
TEAK,2023-11-23T00:00:00Z,80007.0556640625,279.5396499633789,0.1915000081062317,1.875,0.009999999776482582,0
TOOL,2023-11-23T00:00:00Z,88397.0546875,264.6796417236328,0.303625013679266,31.125,0.3037499897181988,0
TREE,2023-11-23T00:00:00Z,95597.255859375,274.47338485717773,0.24175001122057438,0,0,0
UKFS,2023-11-23T00:00:00Z,98180.0556640625,278.9771423339844,0.20975000970065594,0,0,0
UNDE,2023-11-23T00:00:00Z,95213.654296875,274.3183898925781,0.2120000123977661,0,0,0
WOOD,2023-11-23T00:00:00Z,96273.8564453125,272.7758903503418,0.12762500531971455,0,0,0
WREF,2023-11-23T00:00:00Z,93124.455078125,277.08839416503906,0.2983750179409981,0,0,0
YELL,2023-11-23T00:00:00Z,75920.4560546875,270.99339294433594,0.3946250192821026,4.875,0.03999999910593033,0
ABBY,2023-11-24T00:00:00Z,97750.921875,276.99545669555664,0.24887501262128353,0,0,0
BARR,2023-11-24T00:00:00Z,101867.921875,NA,NA,4,0.019999999552965164,0.3087499961256981
BART,2023-11-24T00:00:00Z,95069.9228515625,273.6367073059082,0.3230000138282776,4,0.03624999918974936,0
BLAN,2023-11-24T00:00:00Z,99438.5234375,279.86295318603516,0.28337501734495163,0,0,0
BONA,2023-11-24T00:00:00Z,97212.923828125,266.4292106628418,0.398000031709671,33,0.32249999046325684,0
