site_id,startDateTime,flux,flux_err,n,n_tot
NOGP,2020-06-17T00:00:00Z,1.5265423645419791,0.05268763165051203,40,40
NOGP,2020-06-18T00:00:00Z,2.5111584845105845,0.07479837833185864,40,40
NOGP,2020-06-19T00:00:00Z,2.1815308950687418,0.06669326456496195,40,40
NOGP,2020-06-20T00:00:00Z,2.3251050141111804,0.06317855356627396,40,40
NOGP,2020-06-21T00:00:00Z,2.400043033626811,0.07051420784222061,40,40
NOGP,2020-06-22T00:00:00Z,2.3482724040703764,0.061963782836217174,40,40
NOGP,2020-06-23T00:00:00Z,1.9432078872012273,0.05875059601245755,40,40
NOGP,2020-06-24T00:00:00Z,2.1930414398864473,0.05728283071924824,40,40
NOGP,2020-06-25T00:00:00Z,2.436135387226322,0.063311906191302,40,40
NOGP,2020-06-26T00:00:00Z,2.1532321825849725,0.06460448314875218,40,40
NOGP,2020-06-27T00:00:00Z,2.4251113157644824,0.07007605194397121,40,40
NOGP,2020-06-28T00:00:00Z,1.9045066181224812,0.05496653117790479,40,40
NOGP,2020-06-29T00:00:00Z,1.7453932527430127,0.05015955717975746,40,40
NOGP,2020-06-30T00:00:00Z,5.355500170361349,0.14768851693828186,40,40
OAES,2020-06-01T00:00:00Z,0.725047881238246,2.511426705790482,32,40
OAES,2020-06-02T00:00:00Z,0.4645381811603809,0.22482431445084128,32,40
OAES,2020-06-03T00:00:00Z,0.6009805271362659,1.4720949221739885,32,40
OAES,2020-06-04T00:00:00Z,0.786383097285929,0.3262473077097456,32,40
OAES,2020-06-05T00:00:00Z,0.39550869981827524,0.21992535221118134,32,40
OAES,2020-06-06T00:00:00Z,1.506777146979594,0.781041044975567,32,40
OAES,2020-06-07T00:00:00Z,1.010877693576487,0.6447372581593354,24,40
OAES,2020-06-08T00:00:00Z,0.5139373942210761,0.3665947600962501,24,40
OAES,2020-06-09T00:00:00Z,0.6018503407106999,0.31856670223544065,24,40
OAES,2020-06-10T00:00:00Z,-0.06562196601595414,0.1127164802189965,24,40
OAES,2020-06-11T00:00:00Z,0.40086715010268187,0.230166316008517,24,40
OAES,2020-06-12T00:00:00Z,0.3710505649702857,0.21419117109413324,24,40
OAES,2020-06-13T00:00:00Z,0.45152230989450926,0.24528675611891054,24,40
OAES,2020-06-14T00:00:00Z,0.20790290135592615,1.0664387659006123,24,40
OAES,2020-06-15T00:00:00Z,0.1973446559234008,1.106785857677912,24,40
